,Unnamed: 0,DATETIMEDATA,PM25,CO,NO2,TEMP,RH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
901,1070,2024-02-14 14:00:00,21.2,0.52,7.0,36,46,24.1,26.5,23.7,24.4,25.3,22.6,25.2
902,1071,2024-02-14 15:00:00,24.1,0.56,5.0,36,46,26.5,23.7,24.4,25.3,22.6,25.2,26.2
903,1072,2024-02-14 16:00:00,26.5,0.55,7.0,35,46,23.7,24.4,25.3,22.6,25.2,26.2,20.0
904,1073,2024-02-14 17:00:00,23.7,0.54,10.0,35,47,24.4,25.3,22.6,25.2,26.2,20.0,23.0
905,1074,2024-02-14 18:00:00,24.4,0.54,8.0,32,53,25.3,22.6,25.2,26.2,20.0,23.0,24.3
906,1075,2024-02-14 19:00:00,25.3,0.59,8.0,32,57,22.6,25.2,26.2,20.0,23.0,24.3,24.8
907,1076,2024-02-14 20:00:00,22.6,0.49,7.0,31,60,25.2,26.2,20.0,23.0,24.3,24.8,24.9
908,1077,2024-02-14 21:00:00,25.2,0.5,5.29,30,61,26.2,20.0,23.0,24.3,24.8,24.9,26.4
909,1078,2024-02-14 22:00:00,26.2,0.46,3.0,29,64,20.0,23.0,24.3,24.8,24.9,26.4,26.9
910,1079,2024-02-14 23:00:00,20.0,0.48,5.0,29,66,23.0,24.3,24.8,24.9,26.4,26.9,23.7
911,1080,2024-02-15 00:00:00,23.0,0.44,0.0,29,69,24.3,24.8,24.9,26.4,26.9,23.7,24.3
912,1081,2024-02-15 01:00:00,24.3,0.46,0.0,28,71,24.8,24.9,26.4,26.9,23.7,24.3,26.9
913,1082,2024-02-15 02:00:00,24.8,0.38,5.29,28,74,24.9,26.4,26.9,23.7,24.3,26.9,27.7
914,1083,2024-02-15 03:00:00,24.9,0.38,0.0,28,73,26.4,26.9,23.7,24.3,26.9,27.7,23.0
915,1084,2024-02-15 04:00:00,26.4,0.39,5.29,28,74,26.9,23.7,24.3,26.9,27.7,23.0,23.6
916,1085,2024-02-15 05:00:00,26.9,0.44,5.29,28,73,23.7,24.3,26.9,27.7,23.0,23.6,20.7
917,1086,2024-02-15 06:00:00,23.7,0.46,1.0,28,70,24.3,26.9,27.7,23.0,23.6,20.7,23.4
918,1087,2024-02-15 07:00:00,24.3,0.56,4.0,28,65,26.9,27.7,23.0,23.6,20.7,23.4,20.5
919,1088,2024-02-15 08:00:00,26.9,0.5,4.0,31,58,27.7,23.0,23.6,20.7,23.4,20.5,21.4
920,1089,2024-02-15 09:00:00,27.7,0.54,4.0,32,56,23.0,23.6,20.7,23.4,20.5,21.4,24.2
921,1090,2024-02-15 10:00:00,23.0,0.52,3.0,34,52,23.6,20.7,23.4,20.5,21.4,24.2,27.2
922,1091,2024-02-15 11:00:00,23.6,0.49,5.0,35,48,20.7,23.4,20.5,21.4,24.2,27.2,24.4
923,1092,2024-02-15 12:00:00,20.7,0.51,5.0,35,45,23.4,20.5,21.4,24.2,27.2,24.4,25.0
924,1093,2024-02-15 13:00:00,23.4,0.51,9.0,37,40,20.5,21.4,24.2,27.2,24.4,25.0,24.4
925,1094,2024-02-15 14:00:00,20.5,0.52,11.0,37,40,21.4,24.2,27.2,24.4,25.0,24.4,29.1
926,1095,2024-02-15 15:00:00,21.4,0.6,8.0,37,43,24.2,27.2,24.4,25.0,24.4,29.1,25.8
927,1096,2024-02-15 16:00:00,24.2,0.53,4.0,35,52,27.2,24.4,25.0,24.4,29.1,25.8,28.6
928,1097,2024-02-15 17:00:00,27.2,0.51,7.0,34,54,24.4,25.0,24.4,29.1,25.8,28.6,25.0
929,1098,2024-02-15 18:00:00,24.4,0.56,7.0,33,50,25.0,24.4,29.1,25.8,28.6,25.0,24.5
930,1099,2024-02-15 19:00:00,25.0,0.58,7.0,32,53,24.4,29.1,25.8,28.6,25.0,24.5,23.3
