,Unnamed: 0,DATETIMEDATA,PM25,CO,NO2,TEMP,RH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
0,0,2024-01-01 00:00:00,31.5,0.63,10.0,27,95,35.5,28.3,22.2,27.4,25.7,25.3,22.4
1,1,2024-01-01 01:00:00,35.5,0.61,11.0,27,96,28.3,22.2,27.4,25.7,25.3,22.4,23.1
2,2,2024-01-01 02:00:00,28.3,0.5,5.29,27,93,22.2,27.4,25.7,25.3,22.4,23.1,21.9
3,3,2024-01-01 03:00:00,22.2,0.44,3.0,27,92,27.4,25.7,25.3,22.4,23.1,21.9,17.4
4,4,2024-01-01 04:00:00,27.4,0.43,1.0,26,93,25.7,25.3,22.4,23.1,21.9,17.4,22.3
5,5,2024-01-01 05:00:00,25.7,0.46,3.0,26,95,25.3,22.4,23.1,21.9,17.4,22.3,21.5
6,6,2024-01-01 06:00:00,25.3,0.48,4.0,26,92,22.4,23.1,21.9,17.4,22.3,21.5,18.1
7,7,2024-01-01 07:00:00,22.4,0.5,7.0,27,88,23.1,21.9,17.4,22.3,21.5,18.1,20.2
8,8,2024-01-01 08:00:00,23.1,0.37,3.0,29,74,21.9,17.4,22.3,21.5,18.1,20.2,18.6
9,9,2024-01-01 09:00:00,21.9,0.38,2.0,31,67,17.4,22.3,21.5,18.1,20.2,18.6,20.5
10,10,2024-01-01 10:00:00,17.4,0.38,2.0,31,63,22.3,21.5,18.1,20.2,18.6,20.5,21.6
11,11,2024-01-01 11:00:00,22.3,0.39,3.0,32,61,21.5,18.1,20.2,18.6,20.5,21.6,22.5
12,12,2024-01-01 12:00:00,21.5,0.39,2.0,33,59,18.1,20.2,18.6,20.5,21.6,22.5,19.3
13,13,2024-01-01 13:00:00,18.1,0.44,4.0,34,56,20.2,18.6,20.5,21.6,22.5,19.3,20.2
14,14,2024-01-01 14:00:00,20.2,0.42,4.0,35,53,18.6,20.5,21.6,22.5,19.3,20.2,25.7
15,15,2024-01-01 15:00:00,18.6,0.36,2.0,35,52,20.5,21.6,22.5,19.3,20.2,25.7,28.5
16,16,2024-01-01 16:00:00,20.5,0.39,2.0,34,53,21.6,22.5,19.3,20.2,25.7,28.5,26.7
17,17,2024-01-01 17:00:00,21.6,0.48,6.0,32,60,22.5,19.3,20.2,25.7,28.5,26.7,20.8
18,18,2024-01-01 18:00:00,22.5,0.51,12.0,31,69,19.3,20.2,25.7,28.5,26.7,20.8,19.4
19,19,2024-01-01 19:00:00,19.3,0.53,11.0,30,75,20.2,25.7,28.5,26.7,20.8,19.4,19.0
20,20,2024-01-01 20:00:00,20.2,0.6,16.0,29,75,25.7,28.5,26.7,20.8,19.4,19.0,17.3
21,21,2024-01-01 21:00:00,25.7,0.6,17.0,29,78,28.5,26.7,20.8,19.4,19.0,17.3,20.6
22,22,2024-01-01 22:00:00,28.5,0.49,9.0,28,80,26.7,20.8,19.4,19.0,17.3,20.6,19.6
23,23,2024-01-01 23:00:00,26.7,0.39,3.0,28,79,20.8,19.4,19.0,17.3,20.6,19.6,21.8
24,24,2024-01-02 00:00:00,20.8,0.33,3.0,28,74,19.4,19.0,17.3,20.6,19.6,21.8,21.2
25,25,2024-01-02 01:00:00,19.4,0.27,0.0,28,77,19.0,17.3,20.6,19.6,21.8,21.2,20.9
26,26,2024-01-02 02:00:00,19.0,0.26,0.0,27,80,17.3,20.6,19.6,21.8,21.2,20.9,18.4
27,27,2024-01-02 03:00:00,17.3,0.5,5.29,27,80,20.6,19.6,21.8,21.2,20.9,18.4,20.0
28,28,2024-01-02 04:00:00,20.6,0.35,0.0,27,82,19.6,21.8,21.2,20.9,18.4,20.0,15.7
29,29,2024-01-02 05:00:00,19.6,0.34,0.0,27,85,21.8,21.2,20.9,18.4,20.0,15.7,18.0
30,30,2024-01-02 06:00:00,21.8,0.32,1.0,26,86,21.2,20.9,18.4,20.0,15.7,18.0,15.6
