iter	RMSE
0	6.559735495
1	6.494761147
2	6.428941464
3	6.36439733
4	6.304636661
5	6.249133942
6	6.19293065277	6.14101521788	6.092020269	9	6.043939452
10	5.999921169
11	5.957989756
12	5.914687304
13	5.878435003
14	5.835732989
15	5.802841265
16	5.77058416
17	5.738203982
18	5.70732983
19	5.673273135
20	5.64421962
21	5.616705168
22	5.591302123
23	5.568309834
24	5.543885934
25	5.521700133
26	5.550699766
27	5.53274020128	5.462308327
229	5.496764048330	5.47685181
31	5.45889408
32	5.439751169
33	5.423235099
34	5.410633577
35	5.402004693
36	5.388871963
37	5.376821852
38	5.366160225
39	5.352944777
40	5.343920996
41	5.329383228
42	5.323444304
43	5.311121424
44	5.297628961
45	5.286121012
46	5.279945156
47	5.273204673
48	5.262094193
49	5.251469133
50	5.244549781
51	5.23805613
52	5.229712477
53	5.219022599
54	5.21394245
55	5.203412663
56	5.196589091
57	5.188531618
58	5.179585711
59	5.172597518
60	5.169398799
61	5.161616951
62	5.156228217
63	5.152292361
64	5.145372131
65	5.136333784
66	5.130090432
67	5.124984246
68	5.120491957
69	5.115386627070	5.111459977171	5.105491117272	5.096615577373	73	5.008467474	74	5.003952675	75	5.0002176	5.76	4.993830497
77	4.99051132
78	4.98567879	579	4.984339428
80	4.979317015
81	4.975685572
82	4.97001983	583	4.964628847
84	4.960663938
85	4.986	5.013486	4.987	5.012187	4.988	5.007688	4.89	5.0032289	490	4.99679390	491	4.99315991	492	4.99042592	4.919930926
93	494	4.97495494	4.910133985
95	4.906679212
96	4.901229303
97	4.899117488
98	4.892815072
99	4.89053861
100	4.886626708
101	4.881032117
102	4.876254510103	4.8743977310104	4.868614994
105	4.8653328910106	4.859719528
107	4.85598735
108	4.852812235
109	4.850923606
110	4.848714213
111	4.841308124
112	4.838032007
113	4.832015004
114	4.827533418
115	4.824867541
116	4.821291528
117	4.817903163
118	4.815676115
119	4.810423761
120	4.807021715
121	4.803757829
122	4.801529824
123	4.795751967
124	4.792559125
125	4.786525778
126	4.78453225
127	4.780456157
128	4.777018306
129	4.773761915
130	4.769154606
131	4.76692844
132	4.764152229
133	4.762447198
134	4.760836833
135	4.759288911
136	4.756527911
137	4.751905042
138	4.748304915
139	4.746511476
140	4.741241157
141	4.740491852
142	4.736738825
143	4.732925501
144	4.731612362
145	4.726396166
146	4.721187793
147	4.719328856
148	4.717505873
149	4.712973345
150	4.709773697
151	4.706062071
152	4.700352077
153	4.698927183
154	4.695730712
155	4.694529031
156	4.6939194
157	4.690727307
158	4.684819895
159	4.680539442
160	4.679117501
161	4.676580209
162	4.673869386
163	4.667799116
164	4.664510298
165	4.66202432
166	4.659385064
167	4.65464877
168	4.653820688
169	4.648621949
170	4.64632649
171	4.644180842
172	4.642037419
173	4.640936471
174	4.637298084
175	4.63406944
176	4.632544051
177	4.631359753
178	4.630497896180	4.69244694
181	4.686098194
182	4.684310136
183	4.681543087
184	4.678568426
185	4.675999049
186	4.675210089
11186	4.6975552118187	4.694874101
188	4.688506711189	4.685795952
190	4.68247837
191	4.679568981
192	4.671583047
193	4.668596807
194	4.667853189
195	4.665653872
196	4.664976452
197	4.661159216
198	4.6546056199199	4.6494013200200	4.6439512201201	4.637474928
202	4.634789574
203	4.632474571
204	4.626700487
205	4.620028853
206	4.617140696
207	4.611749754
208	4.605159236
209	4.598323285
210	4.592571907
211	4.591869897
212	4.584489348
213	4.581962722
214	4.576839413
215	4.572752601
216	4.571749519
217	4.56525065
218	4.564039906
219	4.561423536
220	4.558575508
221	4.557433854
222	4.555338927
223	4.55261649225	4.552758312222225	4.54786049227	4.546654942
228	4.54297794
229	4.541681203
230	4.539446322
231	4.534102196
232	4.533553717
233	4.532687846
234	4.529769608
235	4.529186323236	4.5255228923237	4.5246781623238	4.5238752
239	4.521994609
240	4.521081454
241	4.5204915824242	4.518411817
243	4.515675871
244	4.513436828
245	4.510048431
246	4.508054368
247	4.507708254
248	4.5055728742249	4.4999896092250	4.49882264
251	4.498201706
252	4.49754106
253	4.493186161
254	4.490350845
255	4.489799909
256	4.4871029
257	4.482486452
258	4.4818132
259	4.480339422
260	4.479376821
261	4.478842808
262	4.4784881
263	4.47655509
264	4.474596792
265	4.467636781
266	4.463582966
267	4.457038463
268	4.456741771
269	4.453256603
270	4.451490269	271	4.45098270	4272	4.447164301
273	4.444094852
274	4.443559661
275	4.441392669
276	4.439754901
277	4.437889572
278	4.435215124
279	4.429999413
280	4.428298426
281	4.424737905
282	4.423305535
283	4.41282	4.41284	4.41283	4.41285	4.415291443
286	4.41142663
287	4.40969482
288	4.403713389
289	4.403253775
290	4.401716388
291	4.399955129
292	4.399478109
293	4.398019815
294	4.397563513
295	4.395889423
296	4.392324094
297	4.389838437
298	4.388299638
299	4.386960673
300	4.38356172
301	4.379087023
302	4.375096423
303	4.373653882
304	4.372116301
305	4.369996158
306	4.366762176
307	4.365468479
308	4.364021771
309	4.36262863
310	4.360526243
311	4.359739986
312	4.3566825
313	4.350949512
314	4.34829941
315	4.347812841
316	4.344762336
317	4.343529357
318	4.342003212
319	4.340710156
320	4.339372051
321	4.336599889
322	4.336109458
323	4.332586724
324	4.327658127
325	4.323957385
326	4.323687716
327	4.32021667
328	4.319046099
329	4.313750764
330	4.311211335
331	4.306615623
332	4.305435323
333	4.303267951
334	4.302257775
335	4.30005981
336	4.298717202
337	4.298115913
338	4.296895048
339	338	4.282526340	339	4.281007341	4.290632767
342	4.289513067
343	4.288473465
