,PM25,CO,NO2,TEMP,RH,DATE,TIME
0,31.5,0.63,10.0,27,95,2024-01-01,00:00:00
1,35.5,0.61,11.0,27,96,2024-01-01,01:00:00
2,28.3,0.5,5.29,27,93,2024-01-01,02:00:00
3,22.2,0.44,3.0,27,92,2024-01-01,03:00:00
4,27.4,0.43,1.0,26,93,2024-01-01,04:00:00
5,25.7,0.46,3.0,26,95,2024-01-01,05:00:00
6,25.3,0.48,4.0,26,92,2024-01-01,06:00:00
7,22.4,0.5,7.0,27,88,2024-01-01,07:00:00
8,23.1,0.37,3.0,29,74,2024-01-01,08:00:00
9,21.9,0.38,2.0,31,67,2024-01-01,09:00:00
10,17.4,0.38,2.0,31,63,2024-01-01,10:00:00
11,22.3,0.39,3.0,32,61,2024-01-01,11:00:00
12,21.5,0.39,2.0,33,59,2024-01-01,12:00:00
13,18.1,0.44,4.0,34,56,2024-01-01,13:00:00
14,20.2,0.42,4.0,35,53,2024-01-01,14:00:00
15,18.6,0.36,2.0,35,52,2024-01-01,15:00:00
16,20.5,0.39,2.0,34,53,2024-01-01,16:00:00
17,21.6,0.48,6.0,32,60,2024-01-01,17:00:00
18,22.5,0.51,12.0,31,69,2024-01-01,18:00:00
19,19.3,0.53,11.0,30,75,2024-01-01,19:00:00
20,20.2,0.6,16.0,29,75,2024-01-01,20:00:00
21,25.7,0.6,17.0,29,78,2024-01-01,21:00:00
22,28.5,0.49,9.0,28,80,2024-01-01,22:00:00
23,26.7,0.39,3.0,28,79,2024-01-01,23:00:00
24,20.8,0.33,3.0,28,74,2024-01-02,00:00:00
25,19.4,0.27,0.0,28,77,2024-01-02,01:00:00
26,19.0,0.26,0.0,27,80,2024-01-02,02:00:00
27,17.3,0.5,5.29,27,80,2024-01-02,03:00:00
28,20.6,0.35,0.0,27,82,2024-01-02,04:00:00
29,19.6,0.34,0.0,27,85,2024-01-02,05:00:00
30,21.8,0.32,1.0,26,86,2024-01-02,06:00:00
31,21.2,0.45,6.0,27,81,2024-01-02,07:00:00
32,20.9,0.37,3.0,29,72,2024-01-02,08:00:00
33,18.4,0.41,2.0,31,64,2024-01-02,09:00:00
34,20.0,0.41,2.0,32,59,2024-01-02,10:00:00
35,15.7,0.43,4.0,33,56,2024-01-02,11:00:00
36,18.0,0.41,4.0,34,55,2024-01-02,12:00:00
37,15.6,0.4,4.0,34,53,2024-01-02,13:00:00
38,20.1,0.42,4.0,35,49,2024-01-02,14:00:00
39,19.6,0.37,3.0,35,49,2024-01-02,15:00:00
40,21.8,0.4,6.0,35,49,2024-01-02,16:00:00
41,20.6,0.44,6.0,33,53,2024-01-02,17:00:00
42,23.9,0.46,10.0,32,58,2024-01-02,18:00:00
43,23.9,0.52,14.0,31,64,2024-01-02,19:00:00
44,21.3,0.49,11.0,30,66,2024-01-02,20:00:00
45,20.9,0.45,6.0,30,68,2024-01-02,21:00:00
46,18.7,0.45,3.0,30,65,2024-01-02,22:00:00
47,17.6,0.43,2.0,29,68,2024-01-02,23:00:00
48,21.3,0.38,2.0,28,73,2024-01-03,00:00:00
49,20.3,0.35,1.0,28,72,2024-01-03,01:00:00
50,19.1,0.35,1.0,28,74,2024-01-03,02:00:00
51,18.9,0.37,0.0,28,80,2024-01-03,03:00:00
52,22.3,0.5,5.29,27,85,2024-01-03,04:00:00
53,18.7,0.39,0.0,27,86,2024-01-03,05:00:00
54,21.1,0.46,5.0,27,87,2024-01-03,06:00:00
55,23.1,0.53,7.0,28,82,2024-01-03,07:00:00
